source_lemma,target_lemma,total,agreement,train_breaks_gold_eq_source,per_corpus_consistent,applied,in_manual_17,corpora,example_forms,gold_distribution,ODLUKA,NAPOMENA
krivični,krivičan,321,0.907,30,False,False,False,SET2_train_dev:16; SrpKor_train:291; UD_train:14,krivičnog krivično krivična krivičnim krivičnih,krivičan:291; krivični:30,ne,"agreement 0.907, 30 breaks; 'krivični zakonik/postupak' ustaljeni termini, anotatori se kolebaju"
saveta,savet,292,1.0,0,True,True,False,SET2_train_dev:2; SrpKor_train:290,saveta,savet:292,da,"čist padežni artefakt (genitiv), 'saveta' nije lema"
rada,rad,146,0.979,1,False,False,False,ReLDI_train:2; SET2_train_dev:1; SrpKor_train:142; UD_train:1,rada rade,rad:143; rade:2; rada:1,ne,Rada je žensko ime
beš,biti,111,1.0,0,True,True,False,ReLDI_train:1; SrpKor_train:110,beše,biti:111,da,'beš' nije srpska lema (beše -> biti)
lokalni,lokalan,86,1.0,0,True,True,False,SrpKor_train:86,lokalni,lokalan:86,da,"vid prideva; gold jednoglasno lokalan (86/86), 0 breaks"
upravan,upravni,80,1.0,0,True,True,False,SrpKor_train:80,upravnog upravnom upravnih upravne upravnim,upravni:80,da,gold jednoglasno upravni (80/80); 'upravan' (=normalan na ravan) izuzetno redak u ovim korpusima
meri,mera,79,1.0,0,True,True,False,SrpKor_train:79,meri,mera:79,ne,Meri je ime
razvojan,razvojni,55,0.945,3,False,False,False,ReLDI_train:1; SET2_train_dev:1; SrpKor_train:52; UD_train:1,razvojne razvojnih razvojnog razvojno razvojna,razvojni:52; razvojan:3,ne,"agreement 0.945 < 0.95, gold se koleba (52:3)"
kvaliteta,kvalitet,53,0.962,2,False,False,False,SET2_train_dev:1; SrpKor_train:51; UD_train:1,kvaliteta,kvalitet:51; kvaliteta:2,da,kroatizam (kvaliteta f.) -> srpski kvalitet; agreement 0.962
kazo,kazati,51,1.0,0,True,True,False,ReLDI_train:51,kaze kazu,kazati:51,da,nije lema (kazao -> kazati)
ustava,ustav,51,1.0,0,True,True,False,SrpKor_train:51,ustava,ustav:51,da,padežni artefakt; 'ustava' (brana) izuzetno retko (obično 'brana/ustava' tehnički raritet)
perioda,period,45,0.956,2,True,False,False,SrpKor_train:45,perioda periode,period:43; perioda:2,da,"padežni artefakt/kroatizam; agreement 0.956, gold 43:2"
ce,hteti,39,0.949,2,False,False,False,ReLDI_train:37; SrpKor_train:2,ce,hteti:37; ce:2,ne,gold 2x traži baš 'ce' (naziv slova C); agreement 0.949 < 0.95
